  0.00000E+00 -5.00000E+02 -1.00000E+02  1.00000E+02  0.00000E+00  0.00000E+00 -3.84615E-02
  1.00000E-02 -4.99000E+02 -9.99998E+01  1.00021E+02  9.83334E-02  0.00000E+00 -3.84285E-02
  2.00000E-02 -4.98000E+02 -9.99985E+01  1.00042E+02  1.96128E-01 -3.90546E-03 -3.83963E-02
  3.00000E-02 -4.96999E+02 -9.99963E+01  1.00063E+02  3.01539E-01 -1.16391E-02 -3.83493E-02
  4.00000E-02 -4.95999E+02 -9.99930E+01  1.00084E+02  4.20949E-01 -2.16299E-02 -3.82750E-02
  5.00000E-02 -4.94998E+02 -9.99885E+01  1.00105E+02  5.57720E-01 -3.25105E-02 -3.81666E-02
  6.00000E-02 -4.93997E+02 -9.99825E+01  1.00126E+02  7.12680E-01 -4.31908E-02 -3.80222E-02
  7.00000E-02 -4.92995E+02 -9.99750E+01  1.00146E+02  8.84707E-01 -5.28850E-02 -3.78437E-02
  8.00000E-02 -4.91994E+02 -9.99657E+01  1.00166E+02  1.07135E+00 -6.11050E-02 -3.76356E-02
  9.00000E-02 -4.90992E+02 -9.99545E+01  1.00186E+02  1.26939E+00 -6.76267E-02 -3.74040E-02
  1.00000E-01 -4.89990E+02 -9.99413E+01  1.00206E+02  1.47537E+00 -7.24414E-02 -3.71555E-02
  1.10000E-01 -4.88988E+02 -9.99260E+01  1.00225E+02  1.68594E+00 -7.57000E-02 -3.68965E-02
  1.20000E-01 -4.87986E+02 -9.99086E+01  1.00244E+02  1.89816E+00 -7.76570E-02 -3.66327E-02
  1.30000E-01 -4.86983E+02 -9.98891E+01  1.00263E+02  2.10965E+00 -7.86197E-02 -3.63689E-02
  1.40000E-01 -4.85980E+02 -9.98675E+01  1.00282E+02  2.31870E+00 -7.89060E-02 -3.61083E-02
  1.50000E-01 -4.84978E+02 -9.98438E+01  1.00301E+02  2.52418E+00 -7.88120E-02 -3.58533E-02
  1.60000E-01 -4.83975E+02 -9.98180E+01  1.00319E+02  2.72558E+00 -7.85905E-02 -3.56050E-02
  1.70000E-01 -4.82971E+02 -9.97903E+01  1.00338E+02  2.92282E+00 -7.84390E-02 -3.53635E-02
  1.80000E-01 -4.81968E+02 -9.97605E+01  1.00356E+02  3.11619E+00 -7.84959E-02 -3.51283E-02
  1.90000E-01 -4.80964E+02 -9.97289E+01  1.00374E+02  3.30621E+00 -7.88435E-02 -3.48985E-02
  2.00000E-01 -4.79961E+02 -9.96954E+01  1.00393E+02  3.49351E+00 -7.95148E-02 -3.46728E-02
  2.10000E-01 -4.78957E+02 -9.96600E+01  1.00411E+02  3.67878E+00 -8.05035E-02 -3.44500E-02
  2.20000E-01 -4.77952E+02 -9.96227E+01  1.00429E+02  3.86263E+00 -8.17753E-02 -3.42286E-02
  2.30000E-01 -4.76948E+02 -9.95836E+01  1.00447E+02  4.04562E+00 -8.32778E-02 -3.40077E-02
  2.40000E-01 -4.75944E+02 -9.95427E+01  1.00465E+02  4.22818E+00 -8.49507E-02 -3.37864E-02
  2.50000E-01 -4.74939E+02 -9.95000E+01  1.00482E+02  4.41062E+00 -8.67330E-02 -3.35640E-02
  2.60000E-01 -4.73934E+02 -9.94554E+01  1.00500E+02  4.59312E+00 -8.85693E-02 -3.33401E-02
  2.70000E-01 -4.72929E+02 -9.94090E+01  1.00517E+02  4.77577E+00 -9.04128E-02 -3.31146E-02
  2.80000E-01 -4.71924E+02 -9.93608E+01  1.00535E+02  4.95856E+00 -9.22280E-02 -3.28875E-02
  2.90000E-01 -4.70918E+02 -9.93108E+01  1.00552E+02  5.14141E+00 -9.39906E-02 -3.26589E-02
  3.00000E-01 -4.69913E+02 -9.92589E+01  1.00569E+02  5.32422E+00 -9.56871E-02 -3.24290E-02
  3.10000E-01 -4.68907E+02 -9.92052E+01  1.00586E+02  5.50687E+00 -9.73128E-02 -3.21981E-02
  3.20000E-01 -4.67901E+02 -9.91497E+01  1.00602E+02  5.68922E+00 -9.88704E-02 -3.19663E-02
  3.30000E-01 -4.66895E+02 -9.90923E+01  1.00619E+02  5.87116E+00 -1.00368E-01 -3.17341E-02
  3.40000E-01 -4.65889E+02 -9.90332E+01  1.00635E+02  6.05257E+00 -1.01815E-01 -3.15014E-02
  3.50000E-01 -4.64883E+02 -9.89722E+01  1.00652E+02  6.23338E+00 -1.03224E-01 -3.12687E-02
  3.60000E-01 -4.63876E+02 -9.89094E+01  1.00668E+02  6.41353E+00 -1.04606E-01 -3.10358E-02
  3.70000E-01 -4.62869E+02 -9.88448E+01  1.00684E+02  6.59299E+00 -1.05972E-01 -3.08030E-02
  3.80000E-01 -4.61862E+02 -9.87785E+01  1.00701E+02  6.77176E+00 -1.07330E-01 -3.05702E-02
  3.90000E-01 -4.60855E+02 -9.87103E+01  1.00717E+02  6.94982E+00 -1.08687E-01 -3.03375E-02
  4.00000E-01 -4.59848E+02 -9.86404E+01  1.00733E+02  7.12720E+00 -1.10047E-01 -3.01047E-02
  4.10000E-01 -4.58841E+02 -9.85686E+01  1.00749E+02  7.30392E+00 -1.11412E-01 -2.98719E-02
  4.20000E-01 -4.57833E+02 -9.84952E+01  1.00764E+02  7.47999E+00 -1.12783E-01 -2.96390E-02
  4.30000E-01 -4.56826E+02 -9.84199E+01  1.00780E+02  7.65546E+00 -1.14159E-01 -2.94060E-02
  4.40000E-01 -4.55818E+02 -9.83429E+01  1.00796E+02  7.83032E+00 -1.15538E-01 -2.91728E-02
  4.50000E-01 -4.54810E+02 -9.82642E+01  1.00812E+02  8.00462E+00 -1.16918E-01 -2.89393E-02
  4.60000E-01 -4.53802E+02 -9.81837E+01  1.00827E+02  8.17835E+00 -1.18296E-01 -2.87056E-02
  4.70000E-01 -4.52793E+02 -9.81015E+01  1.00843E+02  8.35153E+00 -1.19672E-01 -2.84716E-02
  4.80000E-01 -4.51785E+02 -9.80175E+01  1.00858E+02  8.52415E+00 -1.21042E-01 -2.82372E-02
  4.90000E-01 -4.50776E+02 -9.79319E+01  1.00873E+02  8.69623E+00 -1.22405E-01 -2.80026E-02
  5.00000E-01 -4.49767E+02 -9.78445E+01  1.00889E+02  8.86776E+00 -1.23760E-01 -2.77677E-02
  5.10000E-01 -4.48758E+02 -9.77554E+01  1.00904E+02  9.03873E+00 -1.25106E-01 -2.75324E-02
  5.20000E-01 -4.47749E+02 -9.76645E+01  1.00919E+02  9.20914E+00 -1.26443E-01 -2.72969E-02
  5.30000E-01 -4.46740E+02 -9.75720E+01  1.00934E+02  9.37898E+00 -1.27771E-01 -2.70611E-02
  5.40000E-01 -4.45731E+02 -9.74778E+01  1.00949E+02  9.54825E+00 -1.29089E-01 -2.68250E-02
