 0.000000000000000e+00 -5.000000000000000e+02 -1.000000000000000e+02  1.000000000000000e+02  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -3.846153846153846e-02 
 1.000000000000000e-02 -4.990000000000000e+02 -9.999975300000000e+01  1.000104999999999e+02  9.880000000000002e-02  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.359346153846153e-03 -3.842350413907768e-02 
 2.000000000000000e-02 -4.979998424957059e+02 -9.999852026136642e+01  1.000315017677923e+02  1.975392737628389e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.333210348031899e-03 -3.838950176201523e-02 
 3.000000000000000e-02 -4.969994750129952e+02 -9.999628616877880e+01  1.000524695725515e+02  3.038642770430798e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.630607460475654e-02 -3.834069421045315e-02 
 4.000000000000000e-02 -4.959988980880256e+02 -9.999295689976012e+01  1.000733224385044e+02  4.241594586869074e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -2.680591877738711e-02 -3.826456361493462e-02 
 5.000000000000000e-02 -4.949981130640494e+02 -9.998838259271256e+01  1.000939888521460e+02  5.617848677317795e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -3.760373362428201e-02 -3.815435162676876e-02 
 6.000000000000000e-02 -4.939971219319905e+02 -9.998238649665128e+01  1.001144258846184e+02  7.175540769422553e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -4.776453241841202e-02 -3.800820171457872e-02 
 7.000000000000001e-02 -4.929959270390449e+02 -9.997478900132058e+01  1.001346180336081e+02  8.903247295232604e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -5.665751962949388e-02 -3.782806283142822e-02 
 8.000000000000000e-02 -4.919945308353535e+02 -9.996542564504798e+01  1.001545680991094e+02  1.077617009379786e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -6.393518392268331e-02 -3.761852103638157e-02 
 9.000000000000000e-02 -4.909929357151486e+02 -9.995415899641178e+01  1.001742881624114e+02  1.276195019548422e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -6.949142217121999e-02 -3.738568834562090e-02 
 1.000000000000000e-01 -4.899911439402669e+02 -9.994088490466224e+01  1.001937940379999e+02  1.482566514698213e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.340810755534757e-02 -3.713623833868077e-02 
 1.100000000000000e-01 -4.889891576097851e+02 -9.992553400987386e+01  1.002131031888055e+02  1.693375723423228e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.589812393921441e-02 -3.687664034482357e-02 
 1.200000000000000e-01 -4.879869786446303e+02 -9.990806961290676e+01  1.002322345304510e+02  1.905680604223245e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.725111350614280e-02 -3.661261160946537e-02 
 1.300000000000000e-01 -4.869846087727256e+02 -9.988848305680130e+01  1.002512084524193e+02  2.117118936557077e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.778629184502664e-02 -3.634878138773771e-02 
 1.400000000000000e-01 -4.859820495155022e+02 -9.986678770178414e+01  1.002700460716652e+02  2.325976861749025e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.781488202406253e-02 -3.608854288955293e-02 
 1.500000000000000e-01 -4.849793021842953e+02 -9.984301242391590e+01  1.002887675726103e+02  2.531179013124109e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.761315138741220e-02 -3.583405800087937e-02 
 1.600000000000000e-01 -4.839763678948988e+02 -9.981719536844304e+01  1.003073900799889e+02  2.732221670823383e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.740578662995169e-02 -3.558637480056531e-02 
 1.700000000000000e-01 -4.829732476033175e+02 -9.978937847390254e+01  1.003259257246039e+02  2.929070079490660e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.735844679456644e-02 -3.534561788949138e-02 
 1.800000000000000e-01 -4.819699421592663e+02 -9.975960307615124e+01  1.003443804550725e+02  3.122038881296561e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.757778138093477e-02 -3.511121517049056e-02 
 1.900000000000000e-01 -4.809664523690755e+02 -9.972790671987770e+01  1.003627538681501e+02  3.311671236697599e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.811695319182804e-02 -3.488213071486125e-02 
 2.000000000000000e-01 -4.799627790577230e+02 -9.969432115912384e+01  1.003810400255997e+02  3.498628255667082e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.898470597152171e-02 -3.465708058833549e-02 
 2.100000000000000e-01 -4.789589231206684e+02 -9.965887142222706e+01  1.003992289988374e+02  3.683596359398820e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -8.015620019403591e-02 -3.443471602189522e-02 
 2.200000000000000e-01 -4.779548855590977e+02 -9.962157574986720e+01  1.004173087750596e+02  3.867216524623643e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -8.158414143632232e-02 -3.421376534743321e-02 
 2.300000000000000e-01 -4.769506674959018e+02 -9.958244618349950e+01  1.004352671622850e+02  4.050036285433561e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -8.320908561092086e-02 -3.399313214897569e-02 
 2.400000000000000e-01 -4.759462701731712e+02 -9.954148957906010e+01  1.004530934101279e+02  4.232483014315489e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -8.496817492063073e-02 -3.377195180303578e-02 
 2.500000000000000e-01 -4.749416949345506e+02 -9.949870884007634e+01  1.004707793758949e+02  4.414855405354518e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -8.680190067167498e-02 -3.354961189004848e-02 
 2.600000000000000e-01 -4.739369431972099e+02 -9.945410419772886e+01  1.004883201768784e+02  4.597329189880321e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -8.865877925395242e-02 -3.332574390554653e-02 
 2.700000000000000e-01 -4.729320164185452e+02 -9.940767440617068e+01  1.005057143580958e+02  4.779972826402791e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -9.049805224783048e-02 -3.310019445232004e-02 
 2.800000000000000e-01 -4.719269160622620e+02 -9.935941776378028e+01  1.005229636619782e+02  4.962769091001097e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -9.229067696530046e-02 -3.287298389050453e-02 
