  0.00000E+00 -5.00000E+02 -1.00000E+02  1.00000E+02 -0.00000E+00  0.00000E+00 -3.84615E-02
  2.26000E+00 -2.75787E+02 -7.49615E+01  9.79314E+01  2.02344E+01 -2.03751E-01 -2.15566E-02
  2.27000E+00 -2.74808E+02 -7.47590E+01  9.79184E+01  2.02977E+01 -2.04397E-01 -2.14813E-02
  2.28000E+00 -2.73829E+02 -7.45559E+01  9.79053E+01  2.03607E+01 -2.05041E-01 -2.14060E-02
  2.29000E+00 -2.72850E+02 -7.43521E+01  9.78922E+01  2.04236E+01 -2.05683E-01 -2.13307E-02
  2.30000E+00 -2.71871E+02 -7.41477E+01  9.78791E+01  2.04861E+01 -2.06322E-01 -2.12554E-02
  2.31000E+00 -2.70892E+02 -7.39427E+01  9.78660E+01  2.05485E+01 -2.06959E-01 -2.11801E-02
  2.32000E+00 -2.69913E+02 -7.37371E+01  9.78530E+01  2.06106E+01 -2.07594E-01 -2.11048E-02
  2.33000E+00 -2.68935E+02 -7.35308E+01  9.78399E+01  2.06725E+01 -2.08227E-01 -2.10296E-02
  2.34000E+00 -2.67957E+02 -7.33240E+01  9.78269E+01  2.07342E+01 -2.08857E-01 -2.09543E-02
  2.35000E+00 -2.66978E+02 -7.31165E+01  9.78138E+01  2.07956E+01 -2.09485E-01 -2.08790E-02
  2.36000E+00 -2.66000E+02 -7.29084E+01  9.78008E+01  2.08568E+01 -2.10111E-01 -2.08037E-02
  2.37000E+00 -2.65022E+02 -7.26996E+01  9.77878E+01  2.09178E+01 -2.10734E-01 -2.07284E-02
  2.38000E+00 -2.64045E+02 -7.24903E+01  9.77747E+01  2.09786E+01 -2.11356E-01 -2.06531E-02
  2.39000E+00 -2.63067E+02 -7.22804E+01  9.77617E+01  2.10391E+01 -2.11975E-01 -2.05777E-02
  2.40000E+00 -2.62089E+02 -7.20698E+01  9.77487E+01  2.10994E+01 -2.12591E-01 -2.05024E-02
  2.41000E+00 -2.61112E+02 -7.18587E+01  9.77358E+01  2.11594E+01 -2.13206E-01 -2.04271E-02
  2.42000E+00 -2.60134E+02 -7.16469E+01  9.77228E+01  2.12193E+01 -2.13818E-01 -2.03518E-02
  2.43000E+00 -2.59157E+02 -7.14346E+01  9.77098E+01  2.12789E+01 -2.14428E-01 -2.02765E-02
  2.44000E+00 -2.58180E+02 -7.12217E+01  9.76969E+01  2.13382E+01 -2.15036E-01 -2.02012E-02
  2.45000E+00 -2.57203E+02 -7.10082E+01  9.76839E+01  2.13974E+01 -2.15641E-01 -2.01259E-02
  2.46000E+00 -2.56227E+02 -7.07940E+01  9.76710E+01  2.14563E+01 -2.16244E-01 -2.00506E-02
  2.47000E+00 -2.55250E+02 -7.05793E+01  9.76581E+01  2.15150E+01 -2.16845E-01 -1.99752E-02
  2.48000E+00 -2.54273E+02 -7.03640E+01  9.76452E+01  2.15735E+01 -2.17444E-01 -1.98999E-02
  2.49000E+00 -2.53297E+02 -7.01482E+01  9.76323E+01  2.16317E+01 -2.18041E-01 -1.98246E-02
  2.50000E+00 -2.52321E+02 -6.99317E+01  9.76195E+01  2.16897E+01 -2.18635E-01 -1.97493E-02
  2.51000E+00 -2.51344E+02 -6.97147E+01  9.76066E+01  2.17475E+01 -2.19227E-01 -1.96739E-02
  2.52000E+00 -2.50368E+02 -6.94970E+01  9.75938E+01  2.18050E+01 -2.19816E-01 -1.95986E-02
  2.53000E+00 -2.49393E+02 -6.92788E+01  9.75809E+01  2.18624E+01 -2.20404E-01 -1.95233E-02
  2.54000E+00 -2.48417E+02 -6.90601E+01  9.75681E+01  2.19194E+01 -2.20989E-01 -1.94480E-02
  2.55000E+00 -2.47441E+02 -6.88408E+01  9.75553E+01  2.19763E+01 -2.21572E-01 -1.93726E-02
  2.56000E+00 -2.46466E+02 -6.86208E+01  9.75425E+01  2.20330E+01 -2.22152E-01 -1.92973E-02
  2.57000E+00 -2.45490E+02 -6.84004E+01  9.75298E+01  2.20894E+01 -2.22731E-01 -1.92220E-02
  2.58000E+00 -2.44515E+02 -6.81793E+01  9.75171E+01  2.21455E+01 -2.23307E-01 -1.91466E-02
  2.59000E+00 -2.43540E+02 -6.79578E+01  9.75043E+01  2.22015E+01 -2.23881E-01 -1.90713E-02
  2.60000E+00 -2.42565E+02 -6.77356E+01  9.74916E+01  2.22572E+01 -2.24452E-01 -1.89959E-02
  2.61000E+00 -2.41590E+02 -6.75129E+01  9.74789E+01  2.23127E+01 -2.25021E-01 -1.89206E-02
  2.62000E+00 -2.40615E+02 -6.72896E+01  9.74663E+01  2.23680E+01 -2.25588E-01 -1.88453E-02
  2.63000E+00 -2.39641E+02 -6.70658E+01  9.74536E+01  2.24230E+01 -2.26153E-01 -1.87699E-02
  2.64000E+00 -2.38666E+02 -6.68415E+01  9.74410E+01  2.24779E+01 -2.26716E-01 -1.86946E-02
  2.65000E+00 -2.37692E+02 -6.66165E+01  9.74284E+01  2.25324E+01 -2.27276E-01 -1.86192E-02
  2.66000E+00 -2.36718E+02 -6.63911E+01  9.74158E+01  2.25868E+01 -2.27834E-01 -1.85439E-02
  2.67000E+00 -2.35743E+02 -6.61651E+01  9.74032E+01  2.26409E+01 -2.28390E-01 -1.84685E-02
  2.68000E+00 -2.34769E+02 -6.59385E+01  9.73907E+01  2.26948E+01 -2.28943E-01 -1.83932E-02
  2.69000E+00 -2.33796E+02 -6.57115E+01  9.73782E+01  2.27485E+01 -2.29494E-01 -1.83178E-02
  2.70000E+00 -2.32822E+02 -6.54838E+01  9.73656E+01  2.28020E+01 -2.30043E-01 -1.82425E-02
  2.71000E+00 -2.31848E+02 -6.52557E+01  9.73532E+01  2.28552E+01 -2.30590E-01 -1.81671E-02
  2.72000E+00 -2.30875E+02 -6.50270E+01  9.73407E+01  2.29082E+01 -2.31135E-01 -1.80918E-02
  2.73000E+00 -2.29901E+02 -6.47978E+01  9.73283E+01  2.29610E+01 -2.31677E-01 -1.80164E-02
  2.74000E+00 -2.28928E+02 -6.45681E+01  9.73159E+01  2.30135E+01 -2.32217E-01 -1.79411E-02
  2.75000E+00 -2.27955E+02 -6.43378E+01  9.73035E+01  2.30658E+01 -2.32754E-01 -1.78657E-02
  2.76000E+00 -2.26982E+02 -6.41070E+01  9.72911E+01  2.31179E+01 -2.33290E-01 -1.77904E-02
  2.77000E+00 -2.26009E+02 -6.38757E+01  9.72788E+01  2.31698E+01 -2.33823E-01 -1.77150E-02
  2.78000E+00 -2.25036E+02 -6.36439E+01  9.72665E+01  2.32214E+01 -2.34354E-01 -1.76396E-02
  2.79000E+00 -2.24064E+02 -6.34115E+01  9.72542E+01  2.32729E+01 -2.34882E-01 -1.75643E-02
  2.80000E+00 -2.23091E+02 -6.31787E+01  9.72419E+01  2.33240E+01 -2.35409E-01 -1.74889E-02
  2.81000E+00 -2.22119E+02 -6.29453E+01  9.72297E+01  2.33750E+01 -2.35933E-01 -1.74135E-02
  2.82000E+00 -2.21147E+02 -6.27115E+01  9.72175E+01  2.34257E+01 -2.36455E-01 -1.73382E-02
  2.83000E+00 -2.20175E+02 -6.24771E+01  9.72053E+01  2.34763E+01 -2.36974E-01 -1.72628E-02
  2.84000E+00 -2.19203E+02 -6.22422E+01  9.71931E+01  2.35265E+01 -2.37492E-01 -1.71874E-02
  2.85000E+00 -2.18231E+02 -6.20068E+01  9.71810E+01  2.35766E+01 -2.38007E-01 -1.71120E-02
  2.86000E+00 -2.17259E+02 -6.17709E+01  9.71689E+01  2.36264E+01 -2.38519E-01 -1.70367E-02
  2.87000E+00 -2.16287E+02 -6.15345E+01  9.71568E+01  2.36760E+01 -2.39030E-01 -1.69613E-02
  2.88000E+00 -2.15316E+02 -6.12976E+01  9.71448E+01  2.37254E+01 -2.39538E-01 -1.68859E-02
  2.89000E+00 -2.14344E+02 -6.10603E+01  9.71328E+01  2.37746E+01 -2.40044E-01 -1.68105E-02
  2.90000E+00 -2.13373E+02 -6.08224E+01  9.71208E+01  2.38235E+01 -2.40548E-01 -1.67352E-02
  2.91000E+00 -2.12402E+02 -6.05841E+01  9.71088E+01  2.38722E+01 -2.41049E-01 -1.66598E-02
  2.92000E+00 -2.11431E+02 -6.03452E+01  9.70969E+01  2.39207E+01 -2.41549E-01 -1.65844E-02
  2.93000E+00 -2.10460E+02 -6.01059E+01  9.70850E+01  2.39689E+01 -2.42046E-01 -1.65091E-02
  2.94000E+00 -2.09489E+02 -5.98661E+01  9.70731E+01  2.40169E+01 -2.42540E-01 -1.64337E-02
  2.95000E+00 -2.08518E+02 -5.96258E+01  9.70613E+01  2.40647E+01 -2.43033E-01 -1.63583E-02
  2.96000E+00 -2.07548E+02 -5.93850E+01  9.70495E+01  2.41123E+01 -2.43523E-01 -1.62829E-02
  2.97000E+00 -2.06577E+02 -5.91438E+01  9.70377E+01  2.41597E+01 -2.44011E-01 -1.62075E-02
  2.98000E+00 -2.05607E+02 -5.89021E+01  9.70259E+01  2.42068E+01 -2.44497E-01 -1.61321E-02
  2.99000E+00 -2.04637E+02 -5.86599E+01  9.70142E+01  2.42537E+01 -2.44980E-01 -1.60568E-02
  3.00000E+00 -2.03667E+02 -5.84172E+01  9.70025E+01  2.43004E+01 -2.45461E-01 -1.59814E-02
  3.01000E+00 -2.02697E+02 -5.81741E+01  9.69909E+01  2.43468E+01 -2.45940E-01 -1.59060E-02
  3.02000E+00 -2.01727E+02 -5.79305E+01  9.69793E+01  2.43930E+01 -2.46417E-01 -1.58306E-02
  3.03000E+00 -2.00757E+02 -5.76865E+01  9.69677E+01  2.44390E+01 -2.46891E-01 -1.57552E-02
  3.04000E+00 -1.99787E+02 -5.74420E+01  9.69561E+01  2.44848E+01 -2.47363E-01 -1.56798E-02
  3.05000E+00 -1.98818E+02 -5.71970E+01  9.69446E+01  2.45304E+01 -2.47833E-01 -1.56044E-02
  3.06000E+00 -1.97849E+02 -5.69516E+01  9.69332E+01  2.45757E+01 -2.48300E-01 -1.55291E-02
  3.07000E+00 -1.96879E+02 -5.67058E+01  9.69217E+01  2.46208E+01 -2.48766E-01 -1.54537E-02
  3.08000E+00 -1.95910E+02 -5.64594E+01  9.69103E+01  2.46657E+01 -2.49229E-01 -1.53783E-02
  3.09000E+00 -1.94941E+02 -5.62127E+01  9.68989E+01  2.47103E+01 -2.49689E-01 -1.53029E-02
  3.10000E+00 -1.93972E+02 -5.59655E+01  9.68876E+01  2.47547E+01 -2.50148E-01 -1.52275E-02
  3.11000E+00 -1.93003E+02 -5.57178E+01  9.68763E+01  2.47989E+01 -2.50604E-01 -1.51521E-02
  3.12000E+00 -1.92035E+02 -5.54697E+01  9.68650E+01  2.48429E+01 -2.51058E-01 -1.50767E-02
  3.13000E+00 -1.91066E+02 -5.52212E+01  9.68538E+01  2.48867E+01 -2.51510E-01 -1.50013E-02
  3.14000E+00 -1.90097E+02 -5.49722E+01  9.68426E+01  2.49302E+01 -2.51959E-01 -1.49260E-02
  3.15000E+00 -1.89129E+02 -5.47228E+01  9.68314E+01  2.49735E+01 -2.52407E-01 -1.48506E-02
  3.16000E+00 -1.88161E+02 -5.44730E+01  9.68203E+01  2.50166E+01 -2.52852E-01 -1.47752E-02
  3.17000E+00 -1.87193E+02 -5.42227E+01  9.68092E+01  2.50594E+01 -2.53294E-01 -1.46997E-02
  3.18000E+00 -1.86225E+02 -5.39720E+01  9.67982E+01  2.51021E+01 -2.53735E-01 -1.46244E-02
  3.19000E+00 -1.85257E+02 -5.37209E+01  9.67872E+01  2.51445E+01 -2.54173E-01 -1.45489E-02
  3.20000E+00 -1.84289E+02 -5.34693E+01  9.67762E+01  2.51867E+01 -2.54609E-01 -1.44736E-02
  3.21000E+00 -1.83321E+02 -5.32173E+01  9.67653E+01  2.52286E+01 -2.55042E-01 -1.43982E-02
  3.22000E+00 -1.82353E+02 -5.29650E+01  9.67544E+01  2.52704E+01 -2.55474E-01 -1.43227E-02
  3.23000E+00 -1.81386E+02 -5.27122E+01  9.67435E+01  2.53119E+01 -2.55903E-01 -1.42473E-02
  3.24000E+00 -1.80419E+02 -5.24589E+01  9.67327E+01  2.53532E+01 -2.56330E-01 -1.41719E-02
  3.25000E+00 -1.79451E+02 -5.22053E+01  9.67219E+01  2.53943E+01 -2.56754E-01 -1.40965E-02
  3.26000E+00 -1.78484E+02 -5.19513E+01  9.67112E+01  2.54351E+01 -2.57177E-01 -1.40211E-02
  3.27000E+00 -1.77517E+02 -5.16968E+01  9.67005E+01  2.54757E+01 -2.57597E-01 -1.39457E-02
  3.28000E+00 -1.76550E+02 -5.14420E+01  9.66898E+01  2.55161E+01 -2.58015E-01 -1.38703E-02
  3.29000E+00 -1.75583E+02 -5.11867E+01  9.66792E+01  2.55563E+01 -2.58430E-01 -1.37949E-02
  3.30000E+00 -1.74616E+02 -5.09310E+01  9.66687E+01  2.55963E+01 -2.58843E-01 -1.37195E-02
  3.31000E+00 -1.73650E+02 -5.06750E+01  9.66581E+01  2.56360E+01 -2.59254E-01 -1.36441E-02
  3.32000E+00 -1.72683E+02 -5.04185E+01  9.66477E+01  2.56755E+01 -2.59663E-01 -1.35687E-02
  3.33000E+00 -1.71717E+02 -5.01617E+01  9.66372E+01  2.57148E+01 -2.60070E-01 -1.34933E-02
  3.34000E+00 -1.70750E+02 -4.99044E+01  9.66268E+01  2.57538E+01 -2.60474E-01 -1.34179E-02
  3.35000E+00 -1.69784E+02 -4.96468E+01  9.66164E+01  2.57927E+01 -2.60876E-01 -1.33425E-02
  3.36000E+00 -1.68818E+02 -4.93888E+01  9.66061E+01  2.58313E+01 -2.61275E-01 -1.32671E-02
  3.37000E+00 -1.67852E+02 -4.91304E+01  9.65959E+01  2.58697E+01 -2.61673E-01 -1.31917E-02
  3.38000E+00 -1.66886E+02 -4.88716E+01  9.65856E+01  2.59079E+01 -2.62068E-01 -1.31163E-02
  3.39000E+00 -1.65920E+02 -4.86124E+01  9.65754E+01  2.59458E+01 -2.62461E-01 -1.30409E-02
  3.40000E+00 -1.64955E+02 -4.83529E+01  9.65653E+01  2.59835E+01 -2.62852E-01 -1.29655E-02
  3.41000E+00 -1.63989E+02 -4.80929E+01  9.65552E+01  2.60210E+01 -2.63240E-01 -1.28901E-02
  3.42000E+00 -1.63023E+02 -4.78326E+01  9.65451E+01  2.60583E+01 -2.63626E-01 -1.28146E-02
  3.43000E+00 -1.62058E+02 -4.75720E+01  9.65351E+01  2.60954E+01 -2.64010E-01 -1.27392E-02
  3.44000E+00 -1.61093E+02 -4.73109E+01  9.65252E+01  2.61322E+01 -2.64392E-01 -1.26638E-02
  3.45000E+00 -1.60128E+02 -4.70495E+01  9.65152E+01  2.61688E+01 -2.64771E-01 -1.25884E-02
  3.46000E+00 -1.59162E+02 -4.67877E+01  9.65054E+01  2.62052E+01 -2.65148E-01 -1.25129E-02
  3.47000E+00 -1.58197E+02 -4.65256E+01  9.64955E+01  2.62414E+01 -2.65523E-01 -1.24375E-02
  3.48000E+00 -1.57232E+02 -4.62631E+01  9.64858E+01  2.62773E+01 -2.65896E-01 -1.23621E-02
  3.49000E+00 -1.56268E+02 -4.60002E+01  9.64760E+01  2.63131E+01 -2.66266E-01 -1.22867E-02
  3.50000E+00 -1.55303E+02 -4.57370E+01  9.64663E+01  2.63486E+01 -2.66634E-01 -1.22113E-02
  3.51000E+00 -1.54338E+02 -4.54734E+01  9.64567E+01  2.63839E+01 -2.67000E-01 -1.21359E-02
  3.52000E+00 -1.53374E+02 -4.52095E+01  9.64471E+01  2.64189E+01 -2.67363E-01 -1.20605E-02
  3.53000E+00 -1.52409E+02 -4.49452E+01  9.64375E+01  2.64538E+01 -2.67724E-01 -1.19851E-02
  3.54000E+00 -1.51445E+02 -4.46806E+01  9.64280E+01  2.64884E+01 -2.68083E-01 -1.19097E-02
  3.55000E+00 -1.50481E+02 -4.44156E+01  9.64186E+01  2.65228E+01 -2.68440E-01 -1.18343E-02
  3.56000E+00 -1.49517E+02 -4.41503E+01  9.64092E+01  2.65569E+01 -2.68794E-01 -1.17589E-02
  3.57000E+00 -1.48553E+02 -4.38847E+01  9.63998E+01  2.65909E+01 -2.69147E-01 -1.16835E-02
  3.58000E+00 -1.47589E+02 -4.36187E+01  9.63905E+01  2.66246E+01 -2.69497E-01 -1.16081E-02
  3.59000E+00 -1.46625E+02 -4.33524E+01  9.63812E+01  2.66581E+01 -2.69844E-01 -1.15326E-02
  3.60000E+00 -1.45661E+02 -4.30857E+01  9.63720E+01  2.66914E+01 -2.70190E-01 -1.14572E-02
  3.61000E+00 -1.44697E+02 -4.28187E+01  9.63629E+01  2.67245E+01 -2.70533E-01 -1.13818E-02
  3.62000E+00 -1.43734E+02 -4.25514E+01  9.63538E+01  2.67573E+01 -2.70874E-01 -1.13064E-02
  3.63000E+00 -1.42770E+02 -4.22837E+01  9.63447E+01  2.67900E+01 -2.71212E-01 -1.12310E-02
  3.64000E+00 -1.41807E+02 -4.20158E+01  9.63357E+01  2.68224E+01 -2.71549E-01 -1.11556E-02
  3.65000E+00 -1.40843E+02 -4.17475E+01  9.63267E+01  2.68546E+01 -2.71883E-01 -1.10801E-02
  3.66000E+00 -1.39880E+02 -4.14788E+01  9.63178E+01  2.68865E+01 -2.72215E-01 -1.10047E-02
  3.67000E+00 -1.38917E+02 -4.12099E+01  9.63089E+01  2.69183E+01 -2.72544E-01 -1.09292E-02
  3.68000E+00 -1.37954E+02 -4.09406E+01  9.63001E+01  2.69498E+01 -2.72872E-01 -1.08538E-02
  3.69000E+00 -1.36991E+02 -4.06711E+01  9.62913E+01  2.69811E+01 -2.73197E-01 -1.07784E-02
  3.70000E+00 -1.36028E+02 -4.04012E+01  9.62826E+01  2.70122E+01 -2.73519E-01 -1.07030E-02
  3.71000E+00 -1.35065E+02 -4.01310E+01  9.62740E+01  2.70430E+01 -2.73840E-01 -1.06276E-02
  3.72000E+00 -1.34103E+02 -3.98605E+01  9.62653E+01  2.70737E+01 -2.74158E-01 -1.05521E-02
  3.73000E+00 -1.33140E+02 -3.95897E+01  9.62568E+01  2.71041E+01 -2.74474E-01 -1.04767E-02
  3.74000E+00 -1.32178E+02 -3.93186E+01  9.62483E+01  2.71343E+01 -2.74788E-01 -1.04013E-02
  3.75000E+00 -1.31215E+02 -3.90471E+01  9.62398E+01  2.71643E+01 -2.75099E-01 -1.03259E-02
  3.76000E+00 -1.30253E+02 -3.87754E+01  9.62314E+01  2.71940E+01 -2.75409E-01 -1.02505E-02
  3.77000E+00 -1.29290E+02 -3.85034E+01  9.62231E+01  2.72236E+01 -2.75716E-01 -1.01751E-02
  3.78000E+00 -1.28328E+02 -3.82311E+01  9.62148E+01  2.72529E+01 -2.76020E-01 -1.00997E-02
  3.79000E+00 -1.27366E+02 -3.79585E+01  9.62065E+01  2.72820E+01 -2.76323E-01 -1.00242E-02
  3.80000E+00 -1.26404E+02 -3.76856E+01  9.61983E+01  2.73108E+01 -2.76623E-01 -9.94889E-03
  3.81000E+00 -1.25442E+02 -3.74124E+01  9.61902E+01  2.73395E+01 -2.76921E-01 -9.87347E-03
  3.82000E+00 -1.24480E+02 -3.71390E+01  9.61821E+01  2.73679E+01 -2.77216E-01 -9.79806E-03
  3.83000E+00 -1.23518E+02 -3.68652E+01  9.61741E+01  2.73961E+01 -2.77510E-01 -9.72264E-03
  3.84000E+00 -1.22557E+02 -3.65912E+01  9.61661E+01  2.74241E+01 -2.77801E-01 -9.64725E-03
  3.85000E+00 -1.21595E+02 -3.63169E+01  9.61582E+01  2.74519E+01 -2.78090E-01 -9.57181E-03
  3.86000E+00 -1.20634E+02 -3.60423E+01  9.61503E+01  2.74795E+01 -2.78376E-01 -9.49633E-03
  3.87000E+00 -1.19672E+02 -3.57675E+01  9.61425E+01  2.75068E+01 -2.78661E-01 -9.42091E-03
  3.88000E+00 -1.18711E+02 -3.54923E+01  9.61347E+01  2.75339E+01 -2.78943E-01 -9.34546E-03
  3.89000E+00 -1.17749E+02 -3.52169E+01  9.61270E+01  2.75608E+01 -2.79222E-01 -9.27006E-03
  3.90000E+00 -1.16788E+02 -3.49412E+01  9.61193E+01  2.75875E+01 -2.79500E-01 -9.19461E-03
  3.91000E+00 -1.15827E+02 -3.46653E+01  9.61117E+01  2.76140E+01 -2.79775E-01 -9.11919E-03
  3.92000E+00 -1.14866E+02 -3.43891E+01  9.61042E+01  2.76402E+01 -2.80048E-01 -9.04376E-03
  3.93000E+00 -1.13905E+02 -3.41126E+01  9.60967E+01  2.76662E+01 -2.80319E-01 -8.96834E-03
  3.94000E+00 -1.12944E+02 -3.38359E+01  9.60893E+01  2.76920E+01 -2.80588E-01 -8.89287E-03
  3.95000E+00 -1.11983E+02 -3.35589E+01  9.60819E+01  2.77176E+01 -2.80854E-01 -8.81747E-03
  3.96000E+00 -1.11022E+02 -3.32817E+01  9.60746E+01  2.77430E+01 -2.81118E-01 -8.74205E-03
  3.97000E+00 -1.10062E+02 -3.30042E+01  9.60673E+01  2.77681E+01 -2.81379E-01 -8.66665E-03
  3.98000E+00 -1.09101E+02 -3.27265E+01  9.60601E+01  2.77930E+01 -2.81639E-01 -8.59119E-03
  3.99000E+00 -1.08140E+02 -3.24485E+01  9.60530E+01  2.78177E+01 -2.81896E-01 -8.51576E-03
  4.00000E+00 -1.07180E+02 -3.21702E+01  9.60459E+01  2.78422E+01 -2.82151E-01 -8.44037E-03
  4.01000E+00 -1.06219E+02 -3.18918E+01  9.60388E+01  2.78665E+01 -2.82404E-01 -8.36500E-03
  4.02000E+00 -1.05259E+02 -3.16131E+01  9.60319E+01  2.78905E+01 -2.82654E-01 -8.28960E-03
  4.03000E+00 -1.04299E+02 -3.13341E+01  9.60249E+01  2.79143E+01 -2.82902E-01 -8.21421E-03
  4.04000E+00 -1.03339E+02 -3.10549E+01  9.60181E+01  2.79380E+01 -2.83148E-01 -8.13880E-03
  4.05000E+00 -1.02378E+02 -3.07755E+01  9.60113E+01  2.79613E+01 -2.83391E-01 -8.06339E-03
  4.06000E+00 -1.01418E+02 -3.04958E+01  9.60045E+01  2.79845E+01 -2.83633E-01 -7.98800E-03
  4.07000E+00 -1.00458E+02 -3.02159E+01  9.59978E+01  2.80075E+01 -2.83872E-01 -7.91259E-03
  4.08000E+00 -9.94984E+01 -2.99358E+01  9.59912E+01  2.80302E+01 -2.84109E-01 -7.83716E-03
  4.09000E+00 -9.85386E+01 -2.96554E+01  9.59846E+01  2.80527E+01 -2.84343E-01 -7.76175E-03
  4.10000E+00 -9.75787E+01 -2.93748E+01  9.59781E+01  2.80750E+01 -2.84575E-01 -7.68628E-03
  4.11000E+00 -9.66190E+01 -2.90940E+01  9.59716E+01  2.80971E+01 -2.84806E-01 -7.61082E-03
  4.12000E+00 -9.56593E+01 -2.88130E+01  9.59652E+01  2.81189E+01 -2.85033E-01 -7.53542E-03
  4.13000E+00 -9.46997E+01 -2.85318E+01  9.59589E+01  2.81406E+01 -2.85259E-01 -7.45997E-03
  4.14000E+00 -9.37401E+01 -2.82503E+01  9.59526E+01  2.81620E+01 -2.85482E-01 -7.38454E-03
  4.15000E+00 -9.27806E+01 -2.79686E+01  9.59464E+01  2.81832E+01 -2.85703E-01 -7.30910E-03
  4.16000E+00 -9.18212E+01 -2.76868E+01  9.59402E+01  2.82042E+01 -2.85922E-01 -7.23363E-03
  4.17000E+00 -9.08618E+01 -2.74047E+01  9.59341E+01  2.82250E+01 -2.86138E-01 -7.15815E-03
  4.18000E+00 -8.99025E+01 -2.71224E+01  9.59281E+01  2.82455E+01 -2.86352E-01 -7.08272E-03
  4.19000E+00 -8.89433E+01 -2.68399E+01  9.59221E+01  2.82658E+01 -2.86564E-01 -7.00724E-03
  4.20000E+00 -8.79841E+01 -2.65572E+01  9.59161E+01  2.82859E+01 -2.86774E-01 -6.93179E-03
  4.21000E+00 -8.70250E+01 -2.62743E+01  9.59103E+01  2.83058E+01 -2.86981E-01 -6.85641E-03
  4.22000E+00 -8.60659E+01 -2.59912E+01  9.59045E+01  2.83255E+01 -2.87186E-01 -6.78098E-03
  4.23000E+00 -8.51069E+01 -2.57079E+01  9.58987E+01  2.83450E+01 -2.87389E-01 -6.70553E-03
  4.24000E+00 -8.41479E+01 -2.54244E+01  9.58930E+01  2.83642E+01 -2.87590E-01 -6.63011E-03
  4.25000E+00 -8.31890E+01 -2.51407E+01  9.58874E+01  2.83832E+01 -2.87788E-01 -6.55467E-03
  4.26000E+00 -8.22302E+01 -2.48568E+01  9.58818E+01  2.84020E+01 -2.87984E-01 -6.47925E-03
  4.27000E+00 -8.12714E+01 -2.45728E+01  9.58763E+01  2.84206E+01 -2.88178E-01 -6.40383E-03
  4.28000E+00 -8.03127E+01 -2.42885E+01  9.58709E+01  2.84390E+01 -2.88370E-01 -6.32839E-03
  4.29000E+00 -7.93540E+01 -2.40041E+01  9.58655E+01  2.84571E+01 -2.88559E-01 -6.25301E-03
  4.30000E+00 -7.83954E+01 -2.37195E+01  9.58602E+01  2.84750E+01 -2.88746E-01 -6.17753E-03
  4.31000E+00 -7.74368E+01 -2.34347E+01  9.58549E+01  2.84927E+01 -2.88931E-01 -6.10210E-03
  4.32000E+00 -7.64783E+01 -2.31497E+01  9.58497E+01  2.85102E+01 -2.89113E-01 -6.02670E-03
  4.33000E+00 -7.55198E+01 -2.28646E+01  9.58446E+01  2.85275E+01 -2.89293E-01 -5.95126E-03
  4.34000E+00 -7.45614E+01 -2.25793E+01  9.58395E+01  2.85446E+01 -2.89471E-01 -5.87589E-03
  4.35000E+00 -7.36030E+01 -2.22938E+01  9.58345E+01  2.85614E+01 -2.89647E-01 -5.80051E-03
  4.36000E+00 -7.26447E+01 -2.20081E+01  9.58295E+01  2.85780E+01 -2.89820E-01 -5.72507E-03
  4.37000E+00 -7.16865E+01 -2.17223E+01  9.58246E+01  2.85944E+01 -2.89992E-01 -5.64967E-03
  4.38000E+00 -7.07282E+01 -2.14363E+01  9.58198E+01  2.86106E+01 -2.90161E-01 -5.57418E-03
  4.39000E+00 -6.97701E+01 -2.11502E+01  9.58150E+01  2.86266E+01 -2.90327E-01 -5.49875E-03
  4.40000E+00 -6.88119E+01 -2.08639E+01  9.58103E+01  2.86423E+01 -2.90492E-01 -5.42325E-03
  4.41000E+00 -6.78539E+01 -2.05774E+01  9.58057E+01  2.86579E+01 -2.90654E-01 -5.34785E-03
  4.42000E+00 -6.68958E+01 -2.02908E+01  9.58011E+01  2.86732E+01 -2.90814E-01 -5.27238E-03
  4.43000E+00 -6.59379E+01 -2.00040E+01  9.57966E+01  2.86883E+01 -2.90971E-01 -5.19697E-03
  4.44000E+00 -6.49799E+01 -1.97171E+01  9.57921E+01  2.87032E+01 -2.91127E-01 -5.12149E-03
  4.45000E+00 -6.40220E+01 -1.94301E+01  9.57877E+01  2.87178E+01 -2.91280E-01 -5.04608E-03
  4.46000E+00 -6.30642E+01 -1.91429E+01  9.57834E+01  2.87323E+01 -2.91431E-01 -4.97065E-03
  4.47000E+00 -6.21064E+01 -1.88555E+01  9.57791E+01  2.87465E+01 -2.91579E-01 -4.89515E-03
  4.48000E+00 -6.11486E+01 -1.85680E+01  9.57749E+01  2.87605E+01 -2.91725E-01 -4.81978E-03
  4.49000E+00 -6.01909E+01 -1.82804E+01  9.57708E+01  2.87743E+01 -2.91869E-01 -4.74431E-03
  4.50000E+00 -5.92332E+01 -1.79926E+01  9.57667E+01  2.87879E+01 -2.92011E-01 -4.66885E-03
  4.51000E+00 -5.82756E+01 -1.77047E+01  9.57627E+01  2.88012E+01 -2.92151E-01 -4.59342E-03
  4.52000E+00 -5.73180E+01 -1.74167E+01  9.57587E+01  2.88144E+01 -2.92288E-01 -4.51798E-03
  4.53000E+00 -5.63604E+01 -1.71285E+01  9.57548E+01  2.88273E+01 -2.92423E-01 -4.44259E-03
