  0.00000E+00 -5.00000E+02 -1.00000E+02  1.00000E+02 -0.00000E+00  0.00000E+00 -3.84615E-02
  5.20000E-01 -4.48029E+02 -9.85060E+01  9.98375E+01  5.69905E+00 -5.70214E-02 -3.46013E-02
  5.30000E-01 -4.47030E+02 -9.84488E+01  9.98315E+01  5.80263E+00 -5.80589E-02 -3.45268E-02
  5.40000E-01 -4.46032E+02 -9.83905E+01  9.98254E+01  5.90597E+00 -5.90941E-02 -3.44523E-02
  5.50000E-01 -4.45034E+02 -9.83312E+01  9.98193E+01  6.00909E+00 -6.01271E-02 -3.43778E-02
  5.60000E-01 -4.44035E+02 -9.82708E+01  9.98130E+01  6.11198E+00 -6.11579E-02 -3.43033E-02
  5.70000E-01 -4.43037E+02 -9.82094E+01  9.98067E+01  6.21464E+00 -6.21864E-02 -3.42288E-02
  5.80000E-01 -4.42039E+02 -9.81470E+01  9.98003E+01  6.31706E+00 -6.32127E-02 -3.41543E-02
  5.90000E-01 -4.41041E+02 -9.80836E+01  9.97937E+01  6.41926E+00 -6.42368E-02 -3.40798E-02
  6.00000E-01 -4.40043E+02 -9.80192E+01  9.97871E+01  6.52123E+00 -6.52587E-02 -3.40052E-02
  6.10000E-01 -4.39046E+02 -9.79537E+01  9.97804E+01  6.62297E+00 -6.62783E-02 -3.39307E-02
  6.20000E-01 -4.38048E+02 -9.78872E+01  9.97737E+01  6.72448E+00 -6.72956E-02 -3.38561E-02
  6.30000E-01 -4.37050E+02 -9.78197E+01  9.97668E+01  6.82576E+00 -6.83107E-02 -3.37816E-02
  6.40000E-01 -4.36052E+02 -9.77512E+01  9.97598E+01  6.92681E+00 -6.93236E-02 -3.37070E-02
  6.49999E-01 -4.35055E+02 -9.76817E+01  9.97528E+01  7.02763E+00 -7.03343E-02 -3.36324E-02
  6.59999E-01 -4.34057E+02 -9.76112E+01  9.97456E+01  7.12822E+00 -7.13427E-02 -3.35579E-02
  6.69999E-01 -4.33060E+02 -9.75396E+01  9.97384E+01  7.22858E+00 -7.23489E-02 -3.34833E-02
  6.79999E-01 -4.32062E+02 -9.74671E+01  9.97311E+01  7.32870E+00 -7.33528E-02 -3.34087E-02
  6.89999E-01 -4.31065E+02 -9.73935E+01  9.97237E+01  7.42860E+00 -7.43545E-02 -3.33341E-02
  6.99999E-01 -4.30068E+02 -9.73190E+01  9.97162E+01  7.52827E+00 -7.53540E-02 -3.32595E-02
  7.09999E-01 -4.29071E+02 -9.72435E+01  9.97087E+01  7.62770E+00 -7.63512E-02 -3.31848E-02
  7.19999E-01 -4.28074E+02 -9.71670E+01  9.97010E+01  7.72691E+00 -7.73462E-02 -3.31102E-02
  7.29999E-01 -4.27077E+02 -9.70894E+01  9.96933E+01  7.82588E+00 -7.83389E-02 -3.30356E-02
  7.39999E-01 -4.26080E+02 -9.70109E+01  9.96855E+01  7.92463E+00 -7.93294E-02 -3.29609E-02
  7.49999E-01 -4.25083E+02 -9.69314E+01  9.96776E+01  8.02314E+00 -8.03177E-02 -3.28863E-02
  7.59999E-01 -4.24086E+02 -9.68510E+01  9.96697E+01  8.12142E+00 -8.13037E-02 -3.28116E-02
  7.69999E-01 -4.23090E+02 -9.67695E+01  9.96616E+01  8.21947E+00 -8.22875E-02 -3.27370E-02
  7.79999E-01 -4.22093E+02 -9.66871E+01  9.96535E+01  8.31729E+00 -8.32691E-02 -3.26623E-02
  7.89999E-01 -4.21096E+02 -9.66037E+01  9.96453E+01  8.41488E+00 -8.42484E-02 -3.25876E-02
  7.99999E-01 -4.20100E+02 -9.65193E+01  9.96370E+01  8.51223E+00 -8.52254E-02 -3.25129E-02
  8.09999E-01 -4.19104E+02 -9.64339E+01  9.96287E+01  8.60936E+00 -8.62003E-02 -3.24383E-02
  8.19999E-01 -4.18107E+02 -9.63476E+01  9.96203E+01  8.70625E+00 -8.71729E-02 -3.23636E-02
  8.29999E-01 -4.17111E+02 -9.62603E+01  9.96118E+01  8.80291E+00 -8.81432E-02 -3.22889E-02
