0.2300	22.938457	-0.436039	-99.646484	494.250000	-244.250000	0.000000	99.408302	-4.372568	3.259020	-0.154621	-0.057289	0.000569	-0.011051	-0.123550	-0.147752	-0.037971	-0.056364	-0.154621	-0.057289	0.098800
0.2400	23.932463	-0.480285	-99.613533	494.000000	-244.000000	0.000000	99.376686	-4.580317	3.403846	-0.156144	-0.058529	0.000546	-0.011245	-0.125897	-0.165301	-0.037895	-0.056257	-0.156144	-0.058529	0.098800
0.2500	24.926149	-0.526605	-99.579132	493.750000	-243.750000	0.000000	99.344643	-4.786907	3.548231	-0.157846	-0.059794	0.000534	-0.011140	-0.128828	-0.182473	-0.037819	-0.056151	-0.157846	-0.059794	0.098800
0.2600	25.919516	-0.574989	-99.543289	493.500000	-243.500000	0.000000	99.312149	-4.992690	3.692233	-0.159710	-0.061088	0.000536	-0.010955	-0.131390	-0.195232	-0.037744	-0.056046	-0.159710	-0.061088	0.098800
0.2700	26.912556	-0.625429	-99.506004	493.250000	-243.250000	0.000000	99.279198	-5.197963	3.835913	-0.161688	-0.062406	0.000549	-0.010841	-0.133065	-0.202040	-0.037669	-0.055940	-0.161688	-0.062406	0.098800
0.2800	27.905264	-0.677922	-99.467285	493.000000	-243.000000	0.000000	99.245789	-5.402919	3.979317	-0.163719	-0.063738	0.000568	-0.010870	-0.133730	-0.203322	-0.037595	-0.055833	-0.163719	-0.063738	0.098800
0.2900	28.897638	-0.732463	-99.427132	492.750000	-242.750000	0.000000	99.211922	-5.607635	4.122472	-0.165752	-0.065074	0.000590	-0.011048	-0.133537	-0.200663	-0.037521	-0.055726	-0.165752	-0.065074	0.098800
0.3000	29.889671	-0.789050	-99.385544	492.500000	-242.500000	0.000000	99.177582	-5.812100	4.265385	-0.167753	-0.066406	0.000610	-0.011337	-0.132778	-0.196016	-0.037446	-0.055619	-0.167753	-0.066406	0.098800
0.3100	30.881361	-0.847682	-99.342537	492.250000	-242.250000	0.000000	99.142792	-6.016243	4.408051	-0.169706	-0.067730	0.000627	-0.011681	-0.131765	-0.191102	-0.037371	-0.055512	-0.169706	-0.067730	0.098800
0.3200	31.872702	-0.908354	-99.298096	492.000000	-242.000000	0.000000	99.107552	-6.219977	4.550456	-0.171611	-0.069044	0.000640	-0.012028	-0.130756	-0.187089	-0.037295	-0.055404	-0.171611	-0.069044	0.098800
0.3300	32.863689	-0.971062	-99.252235	491.750000	-241.750000	0.000000	99.071877	-6.423224	4.692584	-0.173480	-0.070348	0.000649	-0.012340	-0.129909	-0.184511	-0.037219	-0.055297	-0.173480	-0.070348	0.098800
0.3400	33.854317	-1.035802	-99.204956	491.500000	-241.500000	0.000000	99.035759	-6.625927	4.834423	-0.175327	-0.071645	0.000656	-0.012601	-0.129289	-0.183372	-0.037142	-0.055190	-0.175327	-0.071645	0.098800
0.3500	34.844582	-1.102567	-99.156258	491.250000	-241.250000	0.000000	98.999214	-6.828062	4.975963	-0.177166	-0.072935	0.000662	-0.012812	-0.128885	-0.183329	-0.037066	-0.055083	-0.177166	-0.072935	0.098800
0.3600	35.834480	-1.171352	-99.106148	491.000000	-241.000000	0.000000	98.962257	-7.029626	5.117200	-0.179006	-0.074222	0.000668	-0.012985	-0.128640	-0.183905	-0.036989	-0.054976	-0.179006	-0.074222	0.098800
0.3700	36.824009	-1.242151	-99.054619	490.750000	-240.750000	0.000000	98.924873	-7.230633	5.258132	-0.180853	-0.075507	0.000676	-0.013141	-0.128483	-0.184647	-0.036911	-0.054869	-0.180853	-0.075507	0.098800
0.3800	37.813164	-1.314959	-99.001686	490.500000	-240.500000	0.000000	98.887077	-7.431106	5.398761	-0.182708	-0.076790	0.000686	-0.013295	-0.128348	-0.185222	-0.036834	-0.054763	-0.182708	-0.076790	0.098800
0.3900	38.801937	-1.389770	-98.947350	490.250000	-240.250000	0.000000	98.848869	-7.631063	5.539090	-0.184567	-0.078072	0.000696	-0.013460	-0.128189	-0.185460	-0.036757	-0.054656	-0.184567	-0.078072	0.098800
0.4000	39.790329	-1.466579	-98.891609	490.000000	-240.000000	0.000000	98.810242	-7.830522	5.679121	-0.186428	-0.079352	0.000707	-0.013642	-0.127981	-0.185330	-0.036680	-0.054550	-0.186428	-0.079352	0.098800
0.4100	40.778336	-1.545382	-98.834465	489.750000	-239.750000	0.000000	98.771202	-8.029490	5.818854	-0.188288	-0.080630	0.000719	-0.013843	-0.127721	-0.184901	-0.036602	-0.054443	-0.188288	-0.080630	0.098800
0.4200	41.765949	-1.626174	-98.775932	489.500000	-239.500000	0.000000	98.731758	-8.227968	5.958292	-0.190142	-0.081905	0.000731	-0.014057	-0.127415	-0.184286	-0.036524	-0.054336	-0.190142	-0.081905	0.098800
0.4300	42.753170	-1.708949	-98.716003	489.250000	-239.250000	0.000000	98.691910	-8.425955	6.097433	-0.191991	-0.083177	0.000742	-0.014279	-0.127081	-0.183605	-0.036446	-0.054230	-0.191991	-0.083177	0.098800
0.4400	43.739986	-1.793702	-98.654678	489.000000	-239.000000	0.000000	98.651665	-8.623445	6.236276	-0.193832	-0.084446	0.000753	-0.014503	-0.126734	-0.182947	-0.036368	-0.054123	-0.193832	-0.084446	0.098800
0.4500	44.726402	-1.880429	-98.591972	488.750000	-238.750000	0.000000	98.611023	-8.820432	6.374819	-0.195668	-0.085711	0.000763	-0.014725	-0.126386	-0.182365	-0.036289	-0.054017	-0.195668	-0.085711	0.098800
0.4600	45.712410	-1.969125	-98.527878	488.500000	-238.500000	0.000000	98.569984	-9.016912	6.513062	-0.197498	-0.086972	0.000773	-0.014942	-0.126047	-0.181876	-0.036210	-0.053910	-0.197498	-0.086972	0.098800
